[2018-02-06 22:01:05] Files.DEBUG:  1; Registro Insertado; pgsID:19560; Uid: 928828   
[2018-02-06 22:01:05] Files.DEBUG:  2; Registro Insertado; pgsID:19561; Uid: 928827   
[2018-02-06 22:01:06] Files.DEBUG:  3; Registro Insertado; pgsID:19562; Uid: 928822   
[2018-02-06 22:01:06] Files.DEBUG:  4; Registro Insertado; pgsID:19563; Uid: 928821   
[2018-02-06 22:01:06] Files.DEBUG:  5; Registro Insertado; pgsID:19564; Uid: 928819   
[2018-02-06 22:01:06] Files.DEBUG:  6; Registro Insertado; pgsID:19565; Uid: 928818   
[2018-02-06 22:01:06] Files.ERROR:  1; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928814   
[2018-02-06 22:01:06] Files.DEBUG:  7; Registro Insertado; pgsID:19566; Uid: 928813   
[2018-02-06 22:01:07] Files.DEBUG:  8; Registro Insertado; pgsID:19567; Uid: 928812   
[2018-02-06 22:01:07] Files.ERROR:  2; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928802   
[2018-02-06 22:01:08] Files.DEBUG:  9; Registro Insertado; pgsID:19568; Uid: 928794   
[2018-02-06 22:01:08] Files.DEBUG:  10; Registro Insertado; pgsID:19569; Uid: 928793   
[2018-02-06 22:01:08] Files.DEBUG:  11; Registro Insertado; pgsID:19570; Uid: 928792   
[2018-02-06 22:01:08] Files.ERROR:  3; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928791   
[2018-02-06 22:01:08] Files.DEBUG:  12; Registro Insertado; pgsID:19571; Uid: 928790   
[2018-02-06 22:01:09] Files.DEBUG:  13; Registro Insertado; pgsID:19572; Uid: 928787   
[2018-02-06 22:01:09] Files.DEBUG:  14; Registro Insertado; pgsID:19573; Uid: 928786   
[2018-02-06 22:01:09] Files.DEBUG:  15; Registro Insertado; pgsID:19574; Uid: 928776   
[2018-02-06 22:01:10] Files.DEBUG:  16; Registro Insertado; pgsID:19575; Uid: 928775   
[2018-02-06 22:01:13] Files.DEBUG:  17; Registro Insertado; pgsID:19576; Uid: 928736   
[2018-02-06 22:01:13] Files.DEBUG:  18; Registro Insertado; pgsID:19577; Uid: 928733   
[2018-02-06 22:01:13] Files.DEBUG:  19; Registro Insertado; pgsID:19578; Uid: 928732   
[2018-02-06 22:01:13] Files.ERROR:  4; No se pudo insertar el registro; No existe el nombre del asunto en la BD; UID: 928731   
[2018-02-06 22:01:13] Files.DEBUG:  20; Registro Insertado; pgsID:19579; Uid: 928730   
[2018-02-06 22:01:14] Files.DEBUG:  21; Registro Insertado; pgsID:19580; Uid: 928724   
[2018-02-06 22:01:14] Files.DEBUG:  22; Registro Insertado; pgsID:19581; Uid: 928723   
[2018-02-06 22:01:14] Files.DEBUG:  23; Registro Insertado; pgsID:19582; Uid: 928722   
[2018-02-06 22:01:14] Files.DEBUG:  24; Registro Insertado; pgsID:19583; Uid: 928721   
[2018-02-06 22:01:14] Files.DEBUG:  25; Registro Insertado; pgsID:19584; Uid: 928720   
[2018-02-06 22:01:14] Files.DEBUG:  26; Registro Insertado; pgsID:19585; Uid: 928715   
[2018-02-06 22:01:15] Files.DEBUG:  27; Registro Insertado; pgsID:19586; Uid: 928713   
[2018-02-06 22:01:15] Files.DEBUG:  28; Registro Insertado; pgsID:19587; Uid: 928712   
[2018-02-06 22:01:15] Files.DEBUG:  29; Registro Insertado; pgsID:19588; Uid: 928711   
[2018-02-06 22:01:15] Files.DEBUG:  30; Registro Insertado; pgsID:19589; Uid: 928710   
[2018-02-06 22:01:15] Files.DEBUG:  31; Registro Insertado; pgsID:19590; Uid: 928709   
[2018-02-06 22:01:15] Files.DEBUG:  32; Registro Insertado; pgsID:19591; Uid: 928708   
[2018-02-06 22:01:15] Files.DEBUG:  33; Registro Insertado; pgsID:19592; Uid: 928707   
[2018-02-06 22:01:15] Files.DEBUG:  34; Registro Insertado; pgsID:19593; Uid: 928706   
[2018-02-06 22:01:15] Files.DEBUG:  35; Registro Insertado; pgsID:19594; Uid: 928705   
[2018-02-06 22:01:15] Files.DEBUG:  36; Registro Insertado; pgsID:19595; Uid: 928704   
[2018-02-06 22:01:16] Files.DEBUG:  37; Registro Insertado; pgsID:19596; Uid: 928702   
[2018-02-06 22:01:16] Files.DEBUG:  38; Registro Insertado; pgsID:19597; Uid: 928701   
[2018-02-06 22:01:16] Files.DEBUG:  39; Registro Insertado; pgsID:19598; Uid: 928700   
[2018-02-06 22:01:16] Files.DEBUG:  40; Registro Insertado; pgsID:19599; Uid: 928699   
[2018-02-06 22:01:16] Files.DEBUG:  41; Registro Insertado; pgsID:19600; Uid: 928698   
[2018-02-06 22:01:16] Files.DEBUG:  42; Registro Insertado; pgsID:19601; Uid: 928697   
[2018-02-06 22:01:16] Files.DEBUG:  43; Registro Insertado; pgsID:19602; Uid: 928696   
[2018-02-06 22:01:16] Files.DEBUG:  44; Registro Insertado; pgsID:19603; Uid: 928690   
[2018-02-06 22:01:16] Files.DEBUG:  45; Registro Insertado; pgsID:19604; Uid: 928689   
[2018-02-06 22:01:17] Files.DEBUG:  46; Registro Insertado; pgsID:19605; Uid: 928686   
[2018-02-06 22:01:17] Files.DEBUG:  47; Registro Insertado; pgsID:19606; Uid: 928684   
[2018-02-06 22:01:17] Files.DEBUG:  48; Registro Insertado; pgsID:19607; Uid: 928683   
[2018-02-06 22:01:17] Files.DEBUG:  49; Registro Insertado; pgsID:19608; Uid: 928682   
[2018-02-06 22:01:17] Files.DEBUG:  50; Registro Insertado; pgsID:19609; Uid: 928681   
[2018-02-06 22:01:17] Files.DEBUG:  51; Registro Insertado; pgsID:19610; Uid: 928680   
[2018-02-06 22:01:17] Files.DEBUG:  52; Registro Insertado; pgsID:19611; Uid: 928677   
[2018-02-06 22:01:18] Files.DEBUG:  53; Registro Insertado; pgsID:19612; Uid: 928676   
[2018-02-06 22:01:18] Files.DEBUG:  54; Registro Insertado; pgsID:19613; Uid: 928667   
[2018-02-06 22:01:18] Files.DEBUG:  55; Registro Insertado; pgsID:19614; Uid: 928666   
[2018-02-06 22:01:19] Files.DEBUG:  56; Registro Insertado; pgsID:19615; Uid: 928658   
[2018-02-06 22:01:19] Files.DEBUG:  57; Registro Insertado; pgsID:19616; Uid: 928657   
[2018-02-06 22:01:20] Files.DEBUG:  58; Registro Insertado; pgsID:19617; Uid: 928645   
[2018-02-06 22:01:20] Files.DEBUG:  59; Registro Insertado; pgsID:19618; Uid: 928641   
[2018-02-06 22:01:20] Files.DEBUG:  60; Registro Insertado; pgsID:19619; Uid: 928640   
[2018-02-06 22:01:20] Files.DEBUG:  61; Registro Insertado; pgsID:19620; Uid: 928639   
[2018-02-06 22:01:20] Files.ERROR:  5; No se pudo insertar el registro; No existe el nombre del asunto en la BD; UID: 928638   
[2018-02-06 22:01:20] Files.DEBUG:  62; Registro Insertado; pgsID:19621; Uid: 928637   
[2018-02-06 22:01:20] Files.DEBUG:  63; Registro Insertado; pgsID:19622; Uid: 928636   
[2018-02-06 22:01:20] Files.DEBUG:  64; Registro Insertado; pgsID:19623; Uid: 928635   
[2018-02-06 22:01:21] Files.DEBUG:  65; Registro Insertado; pgsID:19624; Uid: 928634   
[2018-02-06 22:01:21] Files.DEBUG:  66; Registro Insertado; pgsID:19625; Uid: 928633   
[2018-02-06 22:01:21] Files.DEBUG:  67; Registro Insertado; pgsID:19626; Uid: 928630   
[2018-02-06 22:01:21] Files.ERROR:  6; No se pudo insertar el registro; No existe el asunto para ese cliente en la BD; UID: 928622   
[2018-02-06 22:01:22] Files.DEBUG:  68; Registro Insertado; pgsID:19627; Uid: 928611   
[2018-02-06 22:01:26] Files.DEBUG:  69; Registro Insertado; pgsID:19628; Uid: 928565   
[2018-02-06 22:01:26] Files.DEBUG:  70; Registro Insertado; pgsID:19629; Uid: 928564   
[2018-02-06 22:01:26] Files.DEBUG:  71; Registro Insertado; pgsID:19630; Uid: 928563   
[2018-02-06 22:01:26] Files.DEBUG:  72; Registro Insertado; pgsID:19631; Uid: 928562   
[2018-02-06 22:01:26] Files.DEBUG:  73; Registro Insertado; pgsID:19632; Uid: 928561   
[2018-02-06 22:01:26] Files.DEBUG:  74; Registro Insertado; pgsID:19633; Uid: 928560   
[2018-02-06 22:01:26] Files.DEBUG:  75; Registro Insertado; pgsID:19634; Uid: 928559   
[2018-02-06 22:01:26] Files.DEBUG:  76; Registro Insertado; pgsID:19635; Uid: 928558   
[2018-02-06 22:01:26] Files.DEBUG:  77; Registro Insertado; pgsID:19636; Uid: 928557   
[2018-02-06 22:01:27] Files.DEBUG:  78; Registro Insertado; pgsID:19637; Uid: 928551   
[2018-02-06 22:01:27] Files.DEBUG:  79; Registro Insertado; pgsID:19638; Uid: 928550   
[2018-02-06 22:01:27] Files.DEBUG:  80; Registro Insertado; pgsID:19639; Uid: 928549   
[2018-02-06 22:01:27] Files.DEBUG:  81; Registro Insertado; pgsID:19640; Uid: 928547   
[2018-02-06 22:01:27] Files.DEBUG:  82; Registro Insertado; pgsID:19641; Uid: 928546   
[2018-02-06 22:01:27] Files.DEBUG:  83; Registro Insertado; pgsID:19642; Uid: 928543   
[2018-02-06 22:01:27] Files.DEBUG:  84; Registro Insertado; pgsID:19643; Uid: 928540   
[2018-02-06 22:01:27] Files.DEBUG:  85; Registro Insertado; pgsID:19644; Uid: 928539   
[2018-02-06 22:01:27] Files.DEBUG:  86; Registro Insertado; pgsID:19645; Uid: 928538   
[2018-02-06 22:01:28] Files.DEBUG:  87; Registro Insertado; pgsID:19646; Uid: 928535   
[2018-02-06 22:01:28] Files.DEBUG:  88; Registro Insertado; pgsID:19647; Uid: 928532   
